"Mode","Method Name","Train Num Future Frames","Test Num Future Frames","Context Fraction","Status"
"sgcls","sde","3","","0.3",True
"sgcls","sde","3","","0.5",True
"sgcls","sde","3","","0.7",True
"sgcls","sde","3","","0.9",True
"sgcls","sde","5","1","",True
"sgcls","sde","5","2","",True
"sgcls","sde","5","3","",True
"sgcls","sde","5","4","",True
"sgcls","sde","5","5","",True
"sgcls","sde","5","","0.3",True
"sgcls","sde","5","","0.5",True
"sgcls","sde","5","","0.7",True
"sgcls","sde","5","","0.9",True
"predcls","baseline_so","1","1","",False
"predcls","baseline_so","1","2","",False
"predcls","baseline_so","1","3","",False
"predcls","baseline_so","1","4","",False
"predcls","baseline_so","1","5","",False
"predcls","baseline_so","1","","0.3",False
"predcls","baseline_so","1","","0.5",False
"predcls","baseline_so","1","","0.7",False
"predcls","baseline_so","1","","0.9",False
"predcls","baseline_so","3","1","",False
"predcls","baseline_so","3","2","",False
"predcls","baseline_so","3","3","",False
"predcls","baseline_so","3","4","",False
"predcls","baseline_so","3","5","",False
"predcls","baseline_so","3","","0.3",False
"predcls","baseline_so","3","","0.5",False
"predcls","baseline_so","3","","0.7",False
"predcls","baseline_so","3","","0.9",False
"predcls","baseline_so","5","1","",False
"predcls","baseline_so","5","2","",False
"predcls","baseline_so","5","3","",False
"predcls","baseline_so","5","4","",False
"predcls","baseline_so","5","5","",False
"predcls","baseline_so","5","","0.3",False
"predcls","baseline_so","5","","0.5",False
"predcls","baseline_so","5","","0.7",False
"predcls","baseline_so","5","","0.9",False
"predcls","baseline_so_gen_loss","1","1","",False
"predcls","baseline_so_gen_loss","1","2","",False
"predcls","baseline_so_gen_loss","1","3","",False
"predcls","baseline_so_gen_loss","1","4","",False
"predcls","baseline_so_gen_loss","1","5","",False
"predcls","baseline_so_gen_loss","1","","0.3",False
"predcls","baseline_so_gen_loss","1","","0.5",False
"predcls","baseline_so_gen_loss","1","","0.7",False
"predcls","baseline_so_gen_loss","1","","0.9",False
"predcls","baseline_so_gen_loss","3","1","",False
"predcls","baseline_so_gen_loss","3","2","",False
"predcls","baseline_so_gen_loss","3","3","",False
"predcls","baseline_so_gen_loss","3","4","",False
"predcls","baseline_so_gen_loss","3","5","",False
"predcls","baseline_so_gen_loss","3","","0.3",False
"predcls","baseline_so_gen_loss","3","","0.5",False
"predcls","baseline_so_gen_loss","3","","0.7",False
"predcls","baseline_so_gen_loss","3","","0.9",False
"predcls","baseline_so_gen_loss","5","1","",False
"predcls","baseline_so_gen_loss","5","2","",False
"predcls","baseline_so_gen_loss","5","3","",False
"predcls","baseline_so_gen_loss","5","4","",False
"predcls","baseline_so_gen_loss","5","5","",False
"predcls","baseline_so_gen_loss","5","","0.3",False
"predcls","baseline_so_gen_loss","5","","0.5",False
"predcls","baseline_so_gen_loss","5","","0.7",False
"predcls","baseline_so_gen_loss","5","","0.9",False
"predcls","ode","1","1","",False
"predcls","ode","1","2","",False
"predcls","ode","1","3","",False
"predcls","ode","1","4","",False
"predcls","ode","1","5","",False
"predcls","ode","1","","0.3",False
"predcls","ode","1","","0.5",False
"predcls","ode","1","","0.7",False
"predcls","ode","1","","0.9",False
"predcls","ode","3","1","",True
"predcls","ode","3","2","",True
"predcls","ode","3","3","",True
"predcls","ode","3","4","",True
"predcls","ode","3","5","",True
"predcls","ode","3","","0.3",True
"predcls","ode","3","","0.5",True
"predcls","ode","3","","0.7",True
"predcls","ode","3","","0.9",True
"predcls","ode","5","1","",False
"predcls","ode","5","2","",False
"predcls","ode","5","3","",False
"predcls","ode","5","4","",False
"predcls","ode","5","5","",False
"predcls","ode","5","","0.3",False
"predcls","ode","5","","0.5",False
"predcls","ode","5","","0.7",False
"predcls","ode","5","","0.9",False
"predcls","sde","1","1","",True
"predcls","sde","1","2","",True
"predcls","sde","1","3","",True
"predcls","sde","1","4","",True
"predcls","sde","1","5","",True
"predcls","sde","1","","0.3",True
"predcls","sde","1","","0.5",True
"predcls","sde","1","","0.7",True
"predcls","sde","1","","0.9",True
"predcls","sde","3","1","",True
"predcls","sde","3","2","",True
"predcls","sde","3","3","",True
"predcls","sde","3","4","",True
"predcls","sde","3","5","",True
"predcls","sde","3","","0.3",True
"predcls","sde","3","","0.5",True
"predcls","sde","3","","0.7",True
"predcls","sde","3","","0.9",True
"predcls","sde","5","1","",False
"predcls","sde","5","2","",False
"predcls","sde","5","3","",False
"predcls","sde","5","4","",False
"predcls","sde","5","5","",False
"predcls","sde","5","","0.3",False
"predcls","sde","5","","0.5",False
"predcls","sde","5","","0.7",False
"predcls","sde","5","","0.9",False
